hostcode,hostdesc
TBBS   ,ACTIVE WORKINGS IN TIMBER
TIMC   ,TIMBER FOR CONSTRUCTION
TIMH   ,HARDWOOD TIMBER
TIMSO  ,SOFTWOOD PARTICLEBOARD MANUFACTURE
TRYE   ,RYEGRASS TURF - ESTABLISHED
TS     ,TOMBSTONE
VBFC   ,BRASSICA FORAGE CROP
VBL1   ,BRASSICA LEAFY VEGETABLES - SEE LABEL
VG1    ,"VEGETABLE - POST-EMERGENCE, INTER-ROW"
VGBB   ,EGGPLANT
VGBBO  ,EGGPLANT - POST-HARVEST
VGBD11 ,TOMATO (SEE LABEL FOR EXCEPTIONS)
VGDBD  ,BROCCOLI - DIRECT SEEDED
VGDCS  ,CABBAGE TRANSPLANT - PRIOR TO SOWING
VGDCT  ,CABBAGE TRANSPLANTS
VGDTO  ,TURNIP TOP
VGG    ,SOLANACEOUS FRUIT
VGGPY  ,YOUNG PLANTS OF VEGETABLES
VGLAS  ,LETTUCE - SEEDLING
VGOAR  ,ONION - PRIOR TO SOWING
VGOAT  ,ONION TRANSPLANT
VGP1   ,COMMON BEAN
VGPCE  ,GREENFEAST PEA
VGPCV  ,PROCESSING PEA - PRE-EMERGENT
VGPDR  ,PEA - DRY
VGPNA  ,NARBON BEAN
VGRAB  ,BEET CROPS - SEE LABEL
VGRG4  ,POTATO - SEE LABEL
VGRGS  ,SEBAGO POTATO
VGRID  ,DAIKON
VGRPO  ,SWEET POTATO - POST-HARVEST
VGS    ,STALK VEGETABLE
VGSAT3 ,CELERY - UP TO 3 WKS AFTER TRANSPLANTING
VGSFS  ,SWEET CORN SEED
VLC    ,CARDOON
VLCH   ,CHOY SUM
VLCS   ,CORN SALAD
WATTP  ,WATERPROOFING AND TERMITE PROOFING
XAAN   ,NON-AGRICULTURAL AREA - GENERAL
XAANC  ,NON-CROP AREA - GENERAL
XABFG  ,ANIMAL FOOTBATH - GENERAL
XABSC  ,STOCK CAMP
XADM   ,DAIRY - MILK HANDLING AREA
XAGDHA ,DEFINED HAZARDOUS AREA
XAGDHAA,  AERIAL SPRAYING
XBCANP ,ABATTOIR (NON-PRODUCTION AREA)
XBCFP  ,FOOD PROCESSING AND/OR PRESERVING PLANT
XBD1   ,HOUSE - UNDER
XBDI   ,DOMESTIC BUILDING/STRUCTURE-INTERNAL
XBDMS  ,MILKING SHED
XBPC   ,COMPUTER FACILITY
XBPHD  ,DAY-CARE CENTRE
XBS    ,EMPTY SILO
XBSHP  ,POULTRY SHEDS ON BROILER/BREEDER FARM
XBTS   ,TOILET - NOT SEPTIC SYSTEM
XBXCBL ,BLOCK
XBXCBW ,BRICK WORK
XBXCC  ,CEILING - INTERIOR OR EXTERIOR
XBXSCC ,CRACKS AND/OR CREVICES
XCEL   ,CLOCK
XCMT   ,MATTRESS TICKINGS
XCRO   ,ROPE
XFO    ,FURNITURE - OUTDOOR
XLCCB  ,CLOTHING - COTTON / BLEND
XLCTC  ,T-SHIRT (COTTON)
XLES   ,SETTERS
XLF    ,FARM
XLFS   ,FIBROUS SURFACE
XLFS2  ,HOGSHEDS IN WELL SEALED FUMIGATION ENCLO
XLOFB  ,FEED BIN
XLRST  ,MUNICIPAL SPORTS FIELDS
XLSD   ,STORM DRAIN
XNBB   ,BASAL BARK
XNBC   ,BROADACRE CROPPING INCLUDING FALLOW
XNPL   ,LAND PREPARATION PRIOR TO SOWING
XNPP   ,CONTROL OF PRICKLY PEAR
XOBC   ,BOOKCASE
XOBS   ,BOOMSPRAY
XPAM   ,MORTAR ADDITIVE
XPBC   ,CONSTRUCTION MATERIAL
XPC    ,CARRIER
XPFA1  ,NON-FOLIAR BAITING
XPLU5  ,FRUIT FLY - SUSCEPTIBLE FRUIT CROPS
XPSAN  ,SANITATION - PLANTS
XROW   ,ROAD WATERING
XSFG   ,STORED FEED GRAIN
XSGSB  ,FARM STORED SEED GRAIN - BARLEY
XTF    ,"FELLED LOG, POST AND POLE"
XTFL   ,FELLED LOG
XTRG   ,TIMBER RE-GROWTH CONTROL
XV     ,VEHICLE
XVTPH  ,AIRCRAFT - CARGO HOLD
XVTS1  ,SHIP - ABOVE 25 METRES LENGTH ONLY
XVTS2  ,"NAVAL VESSELS (STEEL,FIBREGLASS,TIMBER)"
XVTS3  ,"COMMERCIAL VESSEL(STEEL,TIMBER,FIBREGLAS"
XVTTC  ,CARAVAN
XWAWH  ,ARTIFICICAL WATER HOLDING CONTAINERS
XWEA   ,ESTUARINE AREA
XWG    ,WATER GARDEN
XWRES2 ,RESERVOIRS - MELBOURNE WATER CORPORATION
XWSNW  ,SMALL NATURAL WATER HOLDING CONTAINER
XXFF   ,FIRE FIGHTING WATER
XXV    ,VEGETABLE AND VINE SPRAY
XPSHS  ,SEED HEAD SUPRESSION
XPSHV  ,HIGH VOLUME SPRAYING
XPSSFV ,FRUIT & VEGETABLE SURFACE STERILIZATION
XPTF   ,TEXTILES AND FIBRES
XRU    ,CANVAS HORSE RUG
XSST   ,SURFACE TREATMENT OF STORED CEREAL GRAIN
XTCS   ,STRAND BASED BOARD
XTJ    ,TIMBER JOINT - DAMP CONDITION
XTSP   ,GLUELINE TREATMENT OF SOFTWOOD PLYWOOD
XTSP1  ,TREATMENT OF LYCTUS SUSCEPTIBLE P/WOOD
XTSP2  ,GLUELINE TREATMENT OF HARDWOOD PLYWOOD
XVTT   ,TRAILER
XVWT   ,WATER TANKER
XWET   ,RAIN WATER TANK - INCL POTABLE WATER
XWOV   ,WATER OBSCURED BY VEGETATION
XWP    ,POND AND FOUNTAIN
XXNUT  ,CHESTNUT
ZPASE  ,PASTURE - ESTABLISHED
MOPY4  ,PYRETHRUM - AS BARE ROOTED TRANSPLANTS
MOPY6  ,PYRETHRUM - PRE-EMERGENCE CROP
MOX    ,ORNAMENTALS (SEE LABEL FOR EXCEPTIONS)
MPH    ,PUBLIC HEALTH SITUATION
MPM    ,PACKAGING MATERIAL
MSB1QPS,BED - PLANT - QPS AND CUE TREATMENT
MSBD   ,GLASSHOUSE SEEDBED
MSBFL  ,FLOWER BED
MSBH   ,FORESTRY SEEDLING
MSFB   ,FIELD OR BROADACRE
MSKI   ,SKIRTING BOARD
MTE    ,LAWN - ESTABLISHED
MTFBGE ,BUFFALO GRASS - ESTABLISHED
MTFBO  ,BOWLING GREEN OF KENTUCKY BLUEGRASS
MTFEG  ,KENTUCKY BLUEGRASS (POA PRATENSIS)
MTFFL  ,FESCUE LAWN - ESTABLISHED
MTFFT  ,TURF - FINE AREA
MTFG4  ,GOLF TEE OF KENTUCKY BLUE GRASS
MTFGF  ,GOLF GREEN OF FESCUE
MTFHF  ,TENNIS COURT OF FESCUE
MTFJ1  ,RECREATIONAL TURF - REFER TO LABEL
MTFLD  ,KIDNEY WEED TURF OR LAWN
MTFOG  ,GOLF GREEN OF BUFFALO GRASS
MTFPE  ,GOLF GREEN OF HYBRID BENT GRASS
MTFQ1  ,PLAYING FIELD - SEE LABEL INC/EXCLUSIONS
MTFQK  ,PLAYING FIELD OF KIKUYU GRASS
MTFTW  ,GOLF FAIRWAY OF WHITE CLOVER
MTGAR  ,WEED CONTROL - ALONG GARDEN EDGES
MTHC1  ,TIF HYBRID COUCH TYPES
NAAEI  ,NUISANCE ANT ACTIVITY - INTERNAL
NTSGA  ,MACADAMIA OVER 3 YEARS OLD
NTSK1  ,PEANUT - PRIOR TO SOWING
PA2    ,PASTURE - DIRECT DRILLING/SURFACE SOWING
PA5LF  ,PASTURE FROM 5 LEAF STAGE (NOT LEGUME)
PAAECL ,PASTURE ESTABLISHED- CLOVER &/OR LUCERNE
PAAPR  ,"PASTURE PRE-SOWING:S'FACE SOW,D'ECT DRIL"
PAASP  ,PASTURE - SPOT APPLICATION
PABG   ,PASTURE (BENT GRASS INFESTED)
PAC    ,CLOVER
PACC   ,BERSEEM CLOVER PASTURE
PACSS  ,SUB CLOVER PASTURE (SEEDLING)
PACSSP ,CLOVER - SALVAGE SPRAY
PAFLM  ,PASTURE & FORAGE CROPS
PAFO1  ,DEMETER FESCUE ESTABLISHED PASTURE
PAGL   ,GRASS/LEGUME PASTURE
PAGR   ,RYEGRASS PASTURE
PALH1  ,HUNTER RIVER LUCERNE PA.-OVER 1 YR.OLD
PAMAD  ,PASTURE MANIPULATION PRIOR TO DRILLING
PAMAP  ,PASTURE MANIPULATION PRIOR TO IMPROVED P
PAMSS  ,MEDICS - SALVAGE SPRAY
PANE2  ,ANEMONE - SEED SOWING
PAOPC  ,PHALARIS - SEE LABEL FOR CULTIVAR
PAOV1  ,VETCH (POPANY ONLY)
PAOV3  ,VETCH - PRE-EMERGENT
PAOVP  ,VETCH (PRIOR TO SOWING)
PAP    ,PERMANENT PASTURE/GRAZING LAND
PAPB   ,PARADANA BALANSA CLOVER PASTURE
PFFEA  ,DEMETER FESCUE SEED CROP OVER 1 YEAR OLD
PFFED  ,DEMETER FESCUE SEED CROP
PFGCL  ,CLOVER GROWN FOR FORAGE
PFPK3  ,CHICKPEA - FALLOW & SEEDBED
PHE4   ,SYZGIUM
PI     ,IMPROVED PASTURE
PLAST  ,PLASTIC
PLYS2  ,ALYSSUM - SEED SOWING
PO FT  ,FATSIA JAPONICA - POT PLANT
POAE   ,AESCHYNANTHUS SPP. - PRICKING-OFF SEEDLI
POAS3  ,ASPARAGUS - CUTTINGS
POAT3  ,ASTER - CUTTINGS
POBR   ,BROMELIADS - POT PLANT
POCA1  ,CALCEOLARIA - PRICKING-OFF SEEDLING
POCA2  ,CALCEOLARIA - SEED SOWING
POCE   ,CINERARIA - POT PLANT
POCH2  ,CHLOROPHYTUM - SEED SOWING
POCM2  ,CLEMATIS - SEED SOWING
POCO   ,COLEUS - POT PLANT
POCR2  ,CHRYSANTHEMEM INDICUM - SEED SOWING
POCR3  ,CHRYSANTHEMUM INDICUM - CUTTING
POCV2  ,CODIAEUM VARIEGATUM - SEED SOWING
POCY3  ,CYCLAMEN - CUTTINGS
PODR3  ,DRACAENA SPP. - CUTTINGS
POER   ,ERICA GRACIS - POT PLANT
POER3  ,ERICA GRACIS - CUTTINGS
POEU   ,EUCALYPTUS SPP. - POT PLANT
POEU3  ,EUCALYPTUS SPP. - CUTTINGS
POEU4  ,EUCALYPTUS SPP - TRANSPLANT - SEE LABEL
POFA3  ,FATSHEDERA LIZEI - CUTTINGS
POFU2  ,FUSCHIA - SEED SOWING
POFV2  ,FITTONIA VERSCHAFFELTII - SEED SOWING
POGR   ,GREVILLEA SPP. - POT PLANT
POHL3  ,HELICHRYSUM (IMMORTELLE) - CUTTINGS
POJ    ,JADE PLANT
POMS   ,MESEMBRYANTHEMUM - POT PLANT
POOR1  ,ORCHIDS (ALL COMMON SPECIES) - PRICKING-
POOX4  ,OXALIS HEDYSAROIDES RUBRA - SEED SOWING
POPG   ,GYPSOPHILA - FIELD GROWN - TRANSPLANT ON
POSA2  ,SAINTPAULIA - SEED SOWING
POSC2  ,SCINDAPSUS - SEED SOWING
POSR1  ,STROBILANTHES - PRICKING-OFF SEEDLING
POST   ,STREPTOCARPUS - POT PLANT
POSY3  ,SYNGONIUM - CUTTINGS
POTG2  ,TAGETES - SEED SOWING
POTU1  ,TUPIPA (TULIP) - PRICKING-OFF SEEDLING
POTU3  ,TULIPA (TULIP) - CUTTINGS
PSCCAP ,PERENNIAL SIROCCO PHALARIS SEED CROP 3-6
PSCCS  ,SIROLAN PHALARIS SEED CROP
PSCE2  ,PERENNIAL COCKSFOOT GRASS - OVER 1 YEAR
PSCEA  ,CURRIE COCKSFOOT SEED CROP-OVER 1 YEAR O
PSCGR2 ,GRASS SEED CROP - ESTABLISED (SEE LABEL)
PSCGR3 ,PERENNIAL GRASS SEED CROPS - NOT LEGUME
PSCJB  ,BARGOO JOINTVETCH SEED CROP
PSCLT  ,LOTONONIS SEED CROP
PSCPI  ,PINTO'S PEANUT SEED CROP
PSCQ1  ,CORIANDER SEED CROP - POST EMERGENT
PSFC   ,PASTURE SEED AND FORAGE CROPS
SCABQPS,STORED PULSE AND PULSE PRODUCE QPS & CUE
SCAF   ,STORED FLOUR
SCAP   ,STORED PEANUT
SCAS   ,STORED FOOD PRODUCT - SEE LABEL
SCGA3  ,STORED CEREAL GRAIN - FOR UP TO 3 MONTHS
SCGA6  ,STORED CEREAL GRAIN - 3-6 MONTHS STORAGE
SCGAT  ,STORED TRITICALE
SCGIS  ,GRAIN GOING INTO STORAGE
SCPS   ,STORED PEA SEED
TIM    ,TIMBER
TIMFS1 ,TIMBER - FRESHLY SAWN
TIMLPB ,PINE LOGS - PRIOR TO DEBARKING
TIMP2  ,PROCESSING/MANUF. OF SOFTWOOD PLYWOOD
TIMPR  ,SOFTWOOD (PINUS SPP.) SAWN
TIMRFU ,TIMBER - RURAL AND FARM USE
TIMS   ,SAWN TIMBER
TIMSIG ,TIMBER - FOR SIGNAGE
TLGCH1 ,COUCH CULTIVARS
TLGCHE ,COUCH CULTIVARS - ESTABLISHED
VB1    ,COLE CROPS - SEE LABEL
VGAB   ,TUBER VEGETABLE
VGB    ,VEGETABLE BED
VGBA1  ,CAPSICUM OR PEPPER - SEE LABEL
VGBA2  ,PEPPER
VGBAO  ,CAPSICUM OR PEPPER - POST-HARVEST
VGBC   ,OKRA
VGBD1  ,TOMATO (EXCEPT GREENHOUSE)
VGBDTT ,TRELLIS TOMATO
VGBY   ,BERRY VEGETABLE
VGCE   ,SQUASH
VGCG   ,ZUCCHINI
VGCH   ,GHERKIN
VGDA   ,CAULIFLOWER
VGDBT  ,BROCCOLI TRANSPLANTS
VGDC2  ,CABBAGE - CLOSED HEADED VARIETIES ONLY
VGDK   ,KOHLRABI
VGDR   ,BRUSSELS SPROUTS
VGDRDP ,BRUSSEL SPROUTS-DIRECT SEEDED-PRIOR TO
VGGPR  ,VEGETABLE - PRIOR TO SOWING/PLANTING
VGLA1  ,LETTUCE (CLOSED HEAD VARIETIES ONLY)
VGLANT ,NURSERY GROWN LETTUCE-PRIOR TO TRANSPLAN
VGLAT  ,LETTUCE - TRANSPLANTS
VGLM   ,MUSTARD SPINACH
VGOA2  ,ONION - POST-PLANT/PRE EMERGENCE
VGOC   ,SHALLOT
VGPC1  ,PEA - SEED
VGPC2  ,PROCESSING PEA
VGPC3  ,SUGAR SNAP PEA
VGPCD  ,EMPEROR PEA
VGPCH  ,MELBOURNE MARKET PEA
VGPCK  ,MASSY PEA
VGPCS  ,GREEN PEA - SEED
VGPD   ,BROAD BEAN
VGPE   ,SOYBEAN
VGPH1  ,LENTIL - PRE-EMERGENT
VGPH2  ,LENTIL - PRE-HARVEST
VGPI   ,BEAN - PRIOR TO SOWING
VGPKS  ,MUNG BEAN - SEED
VGPP   ,LABLAB BEAN
VGPQ1  ,FABA BEAN - PRE-PLANT
VGPRA  ,BEAN - PRIOR TO EMERGENCE
VGPU   ,CANNING BEAN
VGR1   ,ROOT VEGETABLE (SEE LABEL FOR EXCEPTION)
VGRF   ,PARSNIP
VGRPC  ,SWEET POTATO ROOTED CUTTINGS
VGSA   ,CELERY
VGSAT4 ,CELERY - UP TO 4 WKS AFTER TRANSPLANTING
VGSDA  ,ASPARAGUS OLDER THAN 1 YEAR
VLLM   ,LEAFY MUSTARD
X      ,NO USES ENTERED FOR THIS PRODUCT
XACFPS ,FOOD PREPARATION AND/OR STORAGE AREA
XADW   ,DRAWER
XAGI   ,INFESTED AREA - GENERAL
XAP    ,PUBLIC AREA - GENERAL
XASA   ,STORAGE AREA
XASE   ,SEED HEAD EMERGENCE - PREVENTION
XBA    ,AGRICULTURAL/FARM BUILDINGS
XBAS   ,ASBESTOS
XBCA   ,COMMERCIAL AREA - INSIDE
XBCEP  ,EGG PACKAGING PREMISES
XBCL   ,LABORATORY
XBCP   ,PHARMACEUTICAL PLANT
XBCYV  ,VETERINARY SURGERY
XBDH1  ,HOUSEHOLD SURFACES
XBDR   ,RESIDENTIAL
XBFA   ,FACTORY
XBGAB  ,BARRACKS
XBGB   ,BARN
XBGEA  ,EMPTY ANIMAL AND/OR BIRD HOUSING/CAGE
XBGQPS ,BUILDINGS & SIMILAR STRUCTURES QPS & CUE
XBII   ,INDUSTRIAL BUILDING/STRUCTURE-INTERNAL
XBPH   ,HOSPITAL
XBSF   ,SUSPENDED FLOOR - UNDER
XBSH   ,HORIZONTAL SHED'S
XBSH2  ,SHED - AROUND
XBSS   ,SMALL STRUCTURES/ENCLOSURES < 375M3 CAP.
XBURB  ,URBAN & SEMI-URBAN COMMERCIAL PREMISES
XBXSC  ,CRAWL SPACES
XEHH   ,HEADER HARVESTER
XEMP   ,MILK PARLOUR
XEMV1  ,MILK VAT
XERS   ,RETICULATION SYSTEM
XFT    ,FURNITURE - TIMBER
XHCMDQP,DECOMPOSED COMPOST QPS & APPROVED CUE
XLAF   ,FIELD APPLICATION TO TOTAL AREA
XLCA   ,CONSERVATION AREA
XLCR   ,COLD ROOM
XLD    ,DITCH
XLNM   ,NESTING MATERIAL
XLNR   ,NESTING/ROOSTING PLACES
XLOBKF ,BUNKER FACING
XLOEC  ,EGG CRATE
XLPA   ,POND - AROUND
XLPA2  ,ORNAMENTAL FISH POND
XLRW   ,ROADWAY - AROUND
XLRWI  ,RIGHTS OF WAY INDUSTRIAL
XLSFS  ,BOAT - STEEL HULL
XLSG   ,SPORTS GROUND
XNEW   ,EUCALYPT WOODLAND MANAGEMENT
XNW1   ,WEED CONTROL - SEEDLING
XNWW   ,WATERWAYS
XOLS   ,LOAMY SANDS & SANDY SOILS
XPAD   ,DESICCANT ADDITIVE
XPGEN  ,GENERAL USE
XPGU   ,PUBLIC USE - GENERAL
XPHC   ,HORTICULTURAL CHEMICAL ADDITIVE
XPLU   ,FRUIT FLY LURE CONTROL ROUTINE
XPP    ,POLISH
XRHR   ,HAIR
XSGFB  ,FARM STORED FEED GRAIN - BARLEY
XSGFO  ,FARM STORED FEED GRAIN - OATS
XSGFPR ,FARM STORED FEED GRAIN - PADDY RICE
XSGFT  ,FARM STORED FEED GRAIN - TRITICALE
XSGFW  ,FARM STORED FEED GRAIN - WHEAT
XSTM   ,TANK MIX FOR TREATMENT OF STORED CEREAL
XTW    ,WOOD PRODUCTS - REFER TO LABEL
XVTA   ,VEHICLE - ANIMAL TRANSPORT
XVTU   ,BUS
XWRES1 ,RESERVOIRS - SEE LABEL
XXXX   ,AWAITING DATA ENTRY (HOSTS/PESTS)
ZPIL   ,PILEA
SANDS,SPOT APPLICATION TO NESTS IN DOMESTIC SITUATIONS
SOTR,PRE-CONSTRUCTION
DYPC,DAIRY CATTLE - EARLY POST CALVING
RWY,RAILWAY YARD
RSIF,ROADSIDE INFRASTRUCTURE - AROUND
BLDG,BUILDING - IN AND AROUND
WWAR,WOODY WEEDS IN AGRICULTURAL NON-CROP AREAS AND RIGHTS-OF-WAY
WWCI,WOODY WEEDS IN COMMERCIAL AND INDUSTRIAL AREAS
WWFP,WOODY WEEDS IN FORESTS AND PASTURES
EGPS,ESTABLISHED GRASS PASTURES
FRNT,"FRUIT AND NUT TREES, VINES"
WDCT,WEED CONTROL BEFORE GERMINATION
VGBAC,CAPSICUM
WCIP,"ASSIST IN WEED CONTROL IN COMMERCIAL, INDUSTRIAL AND PUBLIC SERVICE AREAS, AROUND AGRICULTURAL BUILDINGS AND YARDS"
TRFN,TREE NUTS AND ASSORTED TROPICAL AND SUB TROPICAL FRUITS
PRBC,PRIOR TO SOWING SUMMER BROADACRE CROPS AND STARTING A FALLOW
COTN,COTTON
FLW,FALLOW
FPLT,FORESTS AND PLANTATION TREES
PREH,PRE-HARVEST/CUTTING APPLICATION IN ANNUAL PASTURE FOR HAY/SILAGE PRODUCTION
FPP,FORESTRY - POST-PLANTING
CAPS,CANOLA - PRE-SOWING
FRPP,FORESTRY - PRE-PLANTING
CLW,CLEARFIELD WHEAT - CL STL AND CL JNZ VARIETIES ONLY
PEAR,PEAR
APRI,APRICOT
PEAC,PEACH
NECT,NECTARINE
PLUM,PLUM
ALSF,STONE FRUIT - ALL
RACA,RACING CRAFT
WHTP,WHEAT
TWDV,TRITICALE AND WHEAT (EXCLUDING DURUM VARIETIES)
FRIT,FRUIT TREE
BARLY,BARLEY
LECT,LETTUCE - TRANSPLANTED
VCBN,VOLUNTEER CANOLA
XCAL,CANOLA - VARIETIES WITH CLEARFIELD TECHNOLOGY ONLY
XCEP,CANOLA - VARIETIES WITH CLEARFIELD TECHNOLOGY ONLY
FHTK,FINISHER TURKEY
1HTN,TREE NUT
DSIS,DOMESTIC BUILDINGS AND OTHER INDOOR SITUATIONS WHERE ALTERNATIVE FOOD SOURCES CAN BE REMOVED SUCH AS WAREHOUSES AND EMPTY FEED STORAGE SITUATIONS.
LBCBF,"LAWNS - ESTABLISHED BUFFALO (EXCEPT ST VARIETIES), COUCH, BENT, FESCUE, KIKUYU, PASPALUM AND RYEGRASS."
MTHC2,HYBRID COUCH (NOT SANTA ANA)
XDCP,"DOMESTIC, COMMERCIAL, AND INDUSTRIAL STRUCTURES TO FORM A COMPLETE PERIMETER PRE-CONSTRUCTION TREATMENT"
DPSA,DOMESTIC AND PUBLIC SERVICE AREAS/BUILDINGS
IOS,INDOOR/OUTDOOR SITUATIONS
WTRC,WINTER CROPS
SMCR,SUMMER CROPS
VINC,VINE AND PLANTATION CROPS
GFRM,GENFARM HALOXYFOP 900 AND CLETHODIM HERBICIDE TANK-MIXES 
CGOS,CONTAINER GROWN ORNAMENTALS
MGF,MUSHROOM GROWING FACILITIES
UOS,URBAN OPEN SPACE
WODL,WOODLANDS
CFRT,COMMERCIAL FORESTRY
ELI,ENGLISH IVY
SBSFSD,"SORGHUM, BROOM MILLET, SACCALINE, FORAGE SORGHUM - DRYLAND"
SBSFSI,"SORGHUM, BROOM MILLET, SACCALINE, FORAGE SORGHUN - IRRIGATED"
LUP,LUPINS
RROW,ROADSIDE AND RIGHTS OF WAY
CTTRR,"CANOLA - TRIAZINE TOLERANT ROUNDUP READY (TT-RR) VARIETIES (POST-SOWING, PRE-EMERGENCE ONLY)"
WHT,WHEAT
SUCQH,"SUGARCANE - Q80, Q96 & H56 VARIETIES"
PASTS,PASTURES
XSF,SUMMER FALLOW
CTTRV,CANOLA TT ROUNDUP READY VARIETIES POST EMERGENCE
ALLC,ALL CROPS
IHTGS,INZEN HERBICIDE TOLERANT GRAIN SORGHUM
FCGA5,BARLEY - LATE APPLICATION
FCGP2,TRITICALE - LATE APPLICATION
FCGHZ,WHEAT - LATE APPLICATION
ICADG,"INDUSTRIAL, COMMERCIAL, AGRICULTURAL AND DOMESTIC BUILDINGS"
TIMB3,"HARDBOARD, RECONSTITUTED HARDWOOD SPECIES"
PSWF,FOR WEED CONTROL PRIOR TO SOWING A SUMMER OR WINTER CROP OR IN A FALLOW
DCIPS,"DOMESTIC, COMMERCIAL, INDUSTRIAL AND PUBLIC SERVICES BUILDINGS - INSIDE AND OUTSIDE"
FETRE,ESTABLISHING TREE - NOT FRUIT BEARING TREE
AVO,AVOCADO
GV,GRAPE VINES
KIWI,KIWIFRUIT
MANGO,MANGO
BANANAS,BANANAS
CABBAGE,CABBAGE
TOMATO,TOMATO
FORAGE C,FORAGE CROPS
IMPROVED,IMPROVED ANNUAL PASTURES
ESTABLI,ESTABLISHED PERENNIAL PASTURES
RICE,RICE
SUGARCANE,SUGARCANE
DAPP,DOMESTIC AND PUBLIC PLACES
PSEF,FOR THE PREVENTION OF SEED HEAD EMERGENCE AND SEED FORMATION
ANNUAL,ANNUAL WEEDS
AG PRIOR,AGRICULTURAL AREAS - PRIOR TO SOWING
WCCF,WEED CONTROL TO COMMENCE FALLOW
FPSWSC,FALLOW OR PRIOR TO SOWING WINTER OR SUMMER CROPS
PRPTI,PASTURE RENOVATION POA TUSSOCK INFESTATIONS
PBGI,PASTURE ? BENT GRASS INFESTATIONS
SNS,SORGHUM (NOT SEED VARIETIES OR THOSE SENSITIVE TO LODGING)
WAPWPFNA,"WOODY AND PERENNIAL WEEDS IN PASTURES, FORESTS AND NONAGRICULTURAL AREAS"
BLUEBERR,BLUEBERRIES
DUBOISA,DUBOISA
TEA,TEA
VINEYARDS,VINEYARDS
CPE,CROP OR PASTURE ESTABLISHMENT
PTR,PASTURE TOPPING AND RENOVATION
TIPR,TUSSOCK INFESTED PASTURE RICE (WHEN DIRECT DRILLING)
SPPHC,SORGHUM PRE AND POST HARVEST CONTROL
FIELD PP,FIELD PEAS - PRE-HARVEST
FABA PH,FABA BEANS - PRE HARVEST
CHICK PRE,CHICKPEAS - PRE HARVEST
FILEDPEAPH,FILED PEAS - PRE HARVEST
LENTILSPH,LENTILS - PRE HARVEST
SSRT,STRUCTURES SUITABLE FOR RESIDUAL SURFACE TREATMENTS
TIMIB,TIMBER STRUCTURES - IN-GROUND
TIMFW,TIMBER STRUCTURES - IN-GROUND CONTACT WITH FRESH WATER
TIMMW,TIMBER IN MARINE WATERS
GPV,PEA (GREEN VEGETABLE)
OVBY,VACCINIUM BERRIES - OTHER
MAZ,MAIZE
OILS,OIL SEEDS
SYB,SOY BEAN
FRD,FRUIT DIP AVACADO
FDPB,FRUIT DIP -BANANA
FRDCG,FRUIT DIP - CHINESE GOOSEBERRIES
FRDK,FRUIT DIP - KIWIFRUIT (INEDIBLE PEEL VARIETIES ONLY)
FRDL,FRUIT DIP - LITCHI (LYCHEE)
FRDCA,FRUIT DIP - CUSTARD APPLE
FRDM,FRUIT DIP - MANGO
FRDPP,FRUIT DIP - PAWPAW
FRDPF,FRUIT DIP - PASSIONFRUIT
PHDA,POST HARVEST DIP - AVOCADO
PHDB,POST HARVEST DIP - BANANA
PHDCF,POST HARVEST DIP - CACTUS FRUIT
PHDFJ,POST HARVEST DIP - FEIJOAS
PHDG,POST HARVEST DIP - GUAVA
PHDK,POST HARVEST DIP - KIWI FRUIT (INEDIBLE PEEL VARIETIES ONLY)
PHDM,POST HARVEST DIP - MANGO
PHDPP,POST HARVEST DIP - PAWPAW
PHDBP,POST HARVEST DIP - BANANA PASSIONFRUIT
PHDP,POST HARVEST DIP - PASSIONFRUIT
PHDPG,POST HARVEST DIP - POMEGRANATE
FSFB,"FALLOW, STUBBLE, FIREBREAKS"
PHDT,POST HARVEST DIP - TAMARILLO
PTSP,PLASTIC TERMITE SHEET PRODUCTS
PHDCA,POST HARVEST DIP - CUSTARD APPLE
BNBN,BUILDING - NEW
FSTD,FRESHLY SAWN OR PEELED TIMER - DIP TREATMENT
FSTS,FRESHLY SAWN OR PEELED TIMBER - SPRAY TREATMENT
PRVO,PROTECTED VEGETABLES AND ORNAMENTALS
WINE,WINE GRAPES
TGRAPES,TABLE GRAPES
VEIN,VEHICLE INTERIORS
AGWS,ABOVE GROUND WOOD STRUCTURES
WOODD,WOODY WEEDS
MAZE,MAIZE - PRIOR TO SOWING
PULSES,PULSES
CHICKPEA,CHICKPEA
MUNGBEAN,MUNGBEAN
SRGP,SORGHUM CONTROL - POST HARVEST
GBSRBM,GRAVEL BEFORE STOCKPILING FOR ROAD BASE MATERIAL (ONLY IN QUARRIES SITUATION)
CSCS,COMMERCIAL SITUATION
ISIS,INDUSTRIAL SITUATION
DCPB,"DOMESTIC, COMMERCIAL AND PUBLIC BUILDINGS"
RRCC,ROUNDUP READY COTTON - IN CROP
RRPHC,ROUNDUP READY PRE-HARVEST CONVENTIONAL COTTON
ROSES,ROSES
NFBPMF,NON-FRUIT-BEARING PLANTS OF THE MYRTACEAE FAMILY
RCRIA,"RESIDENTIAL, COMMERCIAL OR RESIDENTIAL INDOOR AREAS"
FAPP,ARAUCARIA TREE PLANTINGS
WWFF,WOODY WEEDS ON FENCELINES AND FIRETRAILS
XNFS,"CROPPING/FALLOW SITUATIONS - FALLOW, STUBBLE, FIREBREAKS"
XNSO,CROPPING/FALLOW SITUATIONS - SORGHUM
